name,category,source,lat,lon,wikidata_qid,id
Edifício Solarium,landmark_and_historical_building,overture,-22.9822940826416,-43.19906997680664,,overture:Edifício Solarium:-22.98229:-43.19907
Ipanema,landmark_and_historical_building,overture,-22.981689453125,-43.19908142089844,,overture:Ipanema:-22.98169:-43.19908
Edifício senador paula,landmark_and_historical_building,overture,-22.980915069580078,-43.198936462402344,,overture:Edifício senador paula:-22.98092:-43.19894
Tô na Rua,topic_concert_venue,overture,-22.980945587158203,-43.197174072265625,,overture:Tô na Rua:-22.98095:-43.19717
Ae Galera E Pra Todo Mundo Descer Para O Complexo Esportivo Da Rocinha,topic_concert_venue,overture,-22.98082160949707,-43.1973876953125,,overture:Ae Galera E Pra Todo Mundo Descer Para O Complexo Esportivo Da Rocinha:-22.98082:-43.19739
Museu de Favela MUF,museum,overture,-22.981935501098633,-43.197540283203125,,overture:Museu de Favela MUF:-22.98194:-43.19754
Edifício Lux,landmark_and_historical_building,overture,-22.982040405273438,-43.195438385009766,,overture:Edifício Lux:-22.98204:-43.19544
Copanema Apartamento,landmark_and_historical_building,overture,-22.98174285888672,-43.19485092163086,,overture:Copanema Apartamento:-22.98174:-43.19485
Condomínio Souza Lima,landmark_and_historical_building,overture,-22.98232078552246,-43.19390106201172,,overture:Condomínio Souza Lima:-22.98232:-43.19390
"Rampa, Lugar de Criação",topic_concert_venue,overture,-22.981639862060547,-43.19478225708008,,"overture:Rampa, Lugar de Criação:-22.98164:-43.19478"
Edificio Boa Esperança,landmark_and_historical_building,overture,-22.981765747070312,-43.19406509399414,,overture:Edificio Boa Esperança:-22.98177:-43.19407
Rua Gustavo Sampaio,landmark_and_historical_building,overture,-22.982471466064453,-43.1922607421875,,overture:Rua Gustavo Sampaio:-22.98247:-43.19226
Condomínio do Edifício Paquequer,landmark_and_historical_building,overture,-22.98223114013672,-43.19126892089844,,overture:Condomínio do Edifício Paquequer:-22.98223:-43.19127
Esquina com Raul Pompeia,landmark_and_historical_building,overture,-22.982086181640625,-43.19226837158203,,overture:Esquina com Raul Pompeia:-22.98209:-43.19227
Copacabana,landmark_and_historical_building,overture,-22.981245040893555,-43.193233489990234,,overture:Copacabana:-22.98125:-43.19323
Leblon,landmark_and_historical_building,overture,-22.981098175048828,-43.194061279296875,,overture:Leblon:-22.98110:-43.19406
Mirante do Pavão,landmark_and_historical_building,overture,-22.979291915893555,-43.1931266784668,,overture:Mirante do Pavão:-22.97929:-43.19313
Edifício Edison,landmark_and_historical_building,overture,-22.979618072509766,-43.19126892089844,,overture:Edifício Edison:-22.97962:-43.19127
Condomínio Chateau de Marseille,landmark_and_historical_building,overture,-22.980087280273438,-43.19114685058594,,overture:Condomínio Chateau de Marseille:-22.98009:-43.19115
Edifício Estrela da Tarde,landmark_and_historical_building,overture,-22.979856491088867,-43.19047927856445,,overture:Edifício Estrela da Tarde:-22.97986:-43.19048
Apartamento 1085,landmark_and_historical_building,overture,-22.979202270507812,-43.19086837768555,,overture:Apartamento 1085:-22.97920:-43.19087
MIS Museu da Imagem e do Som,museum,overture,-22.978931427001953,-43.18943405151367,,overture:MIS Museu da Imagem e do Som:-22.97893:-43.18943
Museu da Imagem e do Som,art_museum,overture,-22.979015350341797,-43.189388275146484,,overture:Museu da Imagem e do Som:-22.97902:-43.18939
Condomínio do Edifício Achcar,landmark_and_historical_building,overture,-22.97937774658203,-43.18956756591797,,overture:Condomínio do Edifício Achcar:-22.97938:-43.18957
Condominio do Edificio Albaplena,landmark_and_historical_building,overture,-22.9794979095459,-43.190101623535156,,overture:Condominio do Edificio Albaplena:-22.97950:-43.19010
Edifício Kenya,landmark_and_historical_building,overture,-22.981273651123047,-43.191036224365234,,overture:Edifício Kenya:-22.98127:-43.19104
Bloco da Sá Ferreira,topic_concert_venue,overture,-22.98165512084961,-43.19021224975586,,overture:Bloco da Sá Ferreira:-22.98166:-43.19021
Studio Furiati,topic_concert_venue,overture,-22.982494354248047,-43.190895080566406,,overture:Studio Furiati:-22.98249:-43.19090
Condomínio do Edifício Alaska,landmark_and_historical_building,overture,-22.98253059387207,-43.190711975097656,,overture:Condomínio do Edifício Alaska:-22.98253:-43.19071
Estátua de Carlos Drummond de Andrade,monument,overture,-22.98435401916504,-43.18916702270508,,overture:Estátua de Carlos Drummond de Andrade:-22.98435:-43.18917
Edifício Justus Wallerstein,landmark_and_historical_building,overture,-22.983776092529297,-43.19020462036133,,overture:Edifício Justus Wallerstein:-22.98378:-43.19020
Edificio Colatina,landmark_and_historical_building,overture,-22.98358917236328,-43.19062805175781,,overture:Edificio Colatina:-22.98359:-43.19063
Condominio do Edificio Igrejinha,landmark_and_historical_building,overture,-22.983488082885742,-43.190589904785156,,overture:Condominio do Edificio Igrejinha:-22.98349:-43.19059
Forte De Copacabana - Jornal Extra,topic_concert_venue,overture,-22.98330307006836,-43.189552307128906,,overture:Forte De Copacabana - Jornal Extra:-22.98330:-43.18955
Edifício Francilia,landmark_and_historical_building,overture,-22.982940673828125,-43.19167709350586,,overture:Edifício Francilia:-22.98294:-43.19168
Condomínio do Edifício Piragibe,landmark_and_historical_building,overture,-22.983766555786133,-43.19476318359375,,overture:Condomínio do Edifício Piragibe:-22.98377:-43.19476
Ipanema Copa Posto 6,landmark_and_historical_building,overture,-22.98403549194336,-43.19390106201172,,overture:Ipanema Copa Posto 6:-22.98404:-43.19390
Condomínio do Edifício Rio Sol,landmark_and_historical_building,overture,-22.984277725219727,-43.19260787963867,,overture:Condomínio do Edifício Rio Sol:-22.98428:-43.19261
Condominio do Edificio Nuno Pinheiro,landmark_and_historical_building,overture,-22.98383140563965,-43.191673278808594,,overture:Condominio do Edificio Nuno Pinheiro:-22.98383:-43.19167
Edificio Satélite,landmark_and_historical_building,overture,-22.983545303344727,-43.19133377075195,,overture:Edificio Satélite:-22.98355:-43.19133
Home Sweet Home,landmark_and_historical_building,overture,-22.9852352142334,-43.194732666015625,,overture:Home Sweet Home:-22.98524:-43.19473
Edificio Mucajai,landmark_and_historical_building,overture,-22.986122131347656,-43.191009521484375,,overture:Edificio Mucajai:-22.98612:-43.19101
Telemusic,topic_concert_venue,overture,-22.986154556274414,-43.18974685668945,,overture:Telemusic:-22.98615:-43.18975
Bloco Empolga às 9,topic_concert_venue,overture,-22.984527587890625,-43.189395904541016,,overture:Bloco Empolga às 9:-22.98453:-43.18940
Condomínio do Edifício Residencial Pio XII - (Copacabana),landmark_and_historical_building,overture,-22.985246658325195,-43.18967819213867,,overture:Condomínio do Edifício Residencial Pio XII - (Copacabana):-22.98525:-43.18968
Forte de Copacabana,landmark_and_historical_building,overture,-22.986597061157227,-43.188514709472656,,overture:Forte de Copacabana:-22.98660:-43.18851
Condomínio Edifício La Reserve Arpoador,landmark_and_historical_building,overture,-22.986576080322266,-43.188987731933594,,overture:Condomínio Edifício La Reserve Arpoador:-22.98658:-43.18899
Francico Otaviano,landmark_and_historical_building,overture,-22.986614227294922,-43.189945220947266,,overture:Francico Otaviano:-22.98661:-43.18995
Edifício São Paulo,landmark_and_historical_building,overture,-22.986560821533203,-43.19099044799805,,overture:Edifício São Paulo:-22.98656:-43.19099
On The Sea Arpoador,landmark_and_historical_building,overture,-22.98727035522461,-43.190582275390625,,overture:On The Sea Arpoador:-22.98727:-43.19058
Condomínio Mar do Sul,landmark_and_historical_building,overture,-22.987197875976562,-43.190093994140625,,overture:Condomínio Mar do Sul:-22.98720:-43.19009
Condomínio do Edifício Premium Suítes,landmark_and_historical_building,overture,-22.987308502197266,-43.19068908691406,,overture:Condomínio do Edifício Premium Suítes:-22.98731:-43.19069
Museo de Bellas Artes de Rio de Janeiro,museum,overture,-22.987783432006836,-43.19388961791992,,overture:Museo de Bellas Artes de Rio de Janeiro:-22.98778:-43.19389
Condomínio do Edifício Residencial Ipanema Front Beach,landmark_and_historical_building,overture,-22.98741340637207,-43.19337844848633,,overture:Condomínio do Edifício Residencial Ipanema Front Beach:-22.98741:-43.19338
Edifício Solar da Praia,landmark_and_historical_building,overture,-22.987110137939453,-43.192420959472656,,overture:Edifício Solar da Praia:-22.98711:-43.19242
Condomínio do Edifício Residencial Einstein - (Copacabana),landmark_and_historical_building,overture,-22.98665428161621,-43.19131088256836,,overture:Condomínio do Edifício Residencial Einstein - (Copacabana):-22.98665:-43.19131
Condomínio do Edifício Joaquim Nabuco,landmark_and_historical_building,overture,-22.986587524414062,-43.194026947021484,,overture:Condomínio do Edifício Joaquim Nabuco:-22.98659:-43.19403
Condomínio do Edifício Rio Espinharas,landmark_and_historical_building,overture,-22.98635482788086,-43.19633102416992,,overture:Condomínio do Edifício Rio Espinharas:-22.98635:-43.19633
Centro Cultural Banco Do Brasil,cultural_center,overture,-22.98717498779297,-43.19620132446289,,overture:Centro Cultural Banco Do Brasil:-22.98717:-43.19620
Jazzmania,topic_concert_venue,overture,-22.986982345581055,-43.19723892211914,,overture:Jazzmania:-22.98698:-43.19724
Costa do Atlântico,landmark_and_historical_building,overture,-22.986637115478516,-43.19785690307617,,overture:Costa do Atlântico:-22.98664:-43.19786
Souto Bistrot Tropical,landmark_and_historical_building,overture,-22.986408233642578,-43.199222564697266,,overture:Souto Bistrot Tropical:-22.98641:-43.19922
Casa de Cultura Laura Alvim,cultural_center,overture,-22.9865779876709,-43.19922637939453,,overture:Casa de Cultura Laura Alvim:-22.98658:-43.19923
Condomínio do Edifício Residencial Ilha Bela,landmark_and_historical_building,overture,-22.98648452758789,-43.201133728027344,,overture:Condomínio do Edifício Residencial Ilha Bela:-22.98648:-43.20113
Coqueirão,landmark_and_historical_building,overture,-22.987085342407227,-43.20627212524414,,overture:Coqueirão:-22.98709:-43.20627
CT Rafael Rexponsa,topic_concert_venue,overture,-22.98676300048828,-43.21335220336914,,overture:CT Rafael Rexponsa:-22.98676:-43.21335
Condomínio do Edifício Juan Les Pins,landmark_and_historical_building,overture,-22.98664665222168,-43.220375061035156,,overture:Condomínio do Edifício Juan Les Pins:-22.98665:-43.22038
Tom Delfim Moreira Leblon,landmark_and_historical_building,overture,-22.986560821533203,-43.221405029296875,,overture:Tom Delfim Moreira Leblon:-22.98656:-43.22141
Cercadinho RJ,topic_concert_venue,overture,-22.990821838378906,-43.23158645629883,,overture:Cercadinho RJ:-22.99082:-43.23159
Farra Delas,topic_concert_venue,overture,-22.990821838378906,-43.23158645629883,,overture:Farra Delas:-22.99082:-43.23159
Penhasco 2 irmãos,landmark_and_historical_building,overture,-22.98866844177246,-43.231727600097656,,overture:Penhasco 2 irmãos:-22.98867:-43.23173
Mirante Sétimo Céu,landmark_and_historical_building,overture,-22.989154815673828,-43.22904968261719,,overture:Mirante Sétimo Céu:-22.98915:-43.22905
Mirante do Leblon,landmark_and_historical_building,overture,-22.989673614501953,-43.22739791870117,,overture:Mirante do Leblon:-22.98967:-43.22740
Conde de Cascais,landmark_and_historical_building,overture,-22.987314224243164,-43.2266960144043,,overture:Conde de Cascais:-22.98731:-43.22670
La Plagne,landmark_and_historical_building,overture,-22.986818313598633,-43.225440979003906,,overture:La Plagne:-22.98682:-43.22544
Brisa Leblon Mozak,landmark_and_historical_building,overture,-22.986927032470703,-43.229705810546875,,overture:Brisa Leblon Mozak:-22.98693:-43.22971
Aperana,landmark_and_historical_building,overture,-22.98797035217285,-43.229331970214844,,overture:Aperana:-22.98797:-43.22933
Mirante 4,landmark_and_historical_building,overture,-22.988224029541016,-43.231781005859375,,overture:Mirante 4:-22.98822:-43.23178
Igarapava 53,landmark_and_historical_building,overture,-22.986888885498047,-43.23111343383789,,overture:Igarapava 53:-22.98689:-43.23111
Pedra Dois Irmãos,landmark_and_historical_building,overture,-22.99000358581543,-43.23972702026367,,overture:Pedra Dois Irmãos:-22.99000:-43.23973
Nosso Samba,topic_concert_venue,overture,-22.993223190307617,-43.23848342895508,,overture:Nosso Samba:-22.99322:-43.23848
Condominio Residencial Costa Azul,landmark_and_historical_building,overture,-22.99410629272461,-43.233985900878906,,overture:Condominio Residencial Costa Azul:-22.99411:-43.23399
