id,name,category,lat,lon,wikidata_qid
overture:Mirante Dona Marta:-22.94500:-43.19642,Mirante Dona Marta,natural_landmark,-22.944995880126953,-43.19641876220703,
overture:Mirante da Praia Vermelha:-22.95744:-43.16515,Mirante da Praia Vermelha,natural_landmark,-22.957441329956055,-43.16515350341797,
overture:Mirante do Pão de Açúcar:-22.94959:-43.15663,Mirante do Pão de Açúcar,natural_landmark,-22.9495906829834,-43.1566276550293,
overture:Morro da Urca:-22.95089:-43.16377,Morro da Urca,natural_landmark,-22.950889587402344,-43.16376876831055,
overture:Museu de Arte Contemporânea de Niterói (MAC):-22.90735:-43.12577,Museu de Arte Contemporânea de Niterói (MAC),museum,-22.907350540161133,-43.125770568847656,
overture:Palacio da Ilha Fiscal:-22.81294:-43.40663,Palacio da Ilha Fiscal,historic_site,-22.812936782836914,-43.4066276550293,
overture:Pedra da Gávea - Rio de Janeiro:-22.90638:-43.60931,Pedra da Gávea - Rio de Janeiro,natural_landmark,-22.90637969970703,-43.60930633544922,
overture:Praça Vista Chinesa:-22.92698:-43.37603,Praça Vista Chinesa,natural_landmark,-22.926984786987305,-43.37602996826172,
overture:Mam - Museu de Arte Moderna:-22.88981:-43.27639,Mam - Museu de Arte Moderna,museum,-22.88981056213379,-43.27638626098633,
wikidata:Q10353299,Praça General Osório (Feira Hippie),market,-22.98515,-43.19811,Q10353299
wikidata:Q28679974,AquaRio - Aquário Marinho do Rio,museum,-22.893056,-43.192778,Q28679974
overture:Espaço Cultural da Marinha:-22.89494:-43.17384,Espaço Cultural da Marinha,museum,-22.894939422607422,-43.17383575439453,
overture:Museu Nacional:-23.01977:-43.46478,Museu Nacional,museum,-23.019765853881836,-43.46478271484375,
overture:Museu Nacional de Belas Artes:-22.90935:-43.17569,Museu Nacional de Belas Artes,museum,-22.909351348876953,-43.17568588256836,
overture:Museu da Imagem e do Som (MIS):-22.97860:-43.18895,Museu da Imagem e do Som (MIS),museum,-22.978595733642578,-43.18894958496094,
overture:Museu de Favela MUF:-22.98194:-43.19754,Museu de Favela MUF,museum,-22.981935501098633,-43.197540283203125,
wikidata:Q10333874,Museu do Amanhã,museum,-22.89413,-43.1794,Q10333874
wikidata:Q10350276,Planetário da Gávea,museum,-22.9783,-43.23028,Q10350276
overture:Cidade das artes:-22.99778:-43.36503,Cidade das artes,theater,-22.99777603149414,-43.365028381347656,
wikidata:Q21857414,Circo Voador,theater,-22.912833333333,-43.180361111111,Q21857414
overture:Theatro Municipal:-22.90836:-43.17729,Theatro Municipal,theater,-22.90835952758789,-43.17729187011719,
overture:Museu das Telecomunicações:-22.92996:-43.17651,Museu das Telecomunicações,museum,-22.929960250854492,-43.176513671875,
overture:Museu de Imagens do Inconsciente:-22.90349:-43.30137,Museu de Imagens do Inconsciente,museum,-22.903488159179688,-43.301368713378906,
overture:Museu do Açude:-22.96483:-43.28209,Museu do Açude,museum,-22.964826583862305,-43.2820930480957,
overture:Centro Cultural Cartola:-22.90155:-43.24086,Centro Cultural Cartola,cultural_center,-22.901554107666016,-43.2408561706543,
overture:Centro Cultural José Bonifácio:-22.89622:-43.19428,Centro Cultural José Bonifácio,cultural_center,-22.896223068237305,-43.194278717041016,
overture:Centro Cultural Justiça Federal:-22.91054:-43.17531,Centro Cultural Justiça Federal,cultural_center,-22.910539627075195,-43.17530822753906,
overture:Centro Cultural Light:-22.90272:-43.18710,Centro Cultural Light,cultural_center,-22.90272331237793,-43.187095642089844,
overture:Centro Cultural da Policia Militar:-22.90913:-43.19479,Centro Cultural da Policia Militar,cultural_center,-22.909130096435547,-43.19478988647461,
overture:Centro Luiz Gonzaga de Tradições Nordestinas:-22.89765:-43.22031,Centro Luiz Gonzaga de Tradições Nordestinas,cultural_center,-22.89764976501465,-43.220314025878906,
overture:Fundição Progresso:-22.91249:-43.18056,Fundição Progresso,theater,-22.912487030029297,-43.18055725097656,
overture:Imperator - Centro Cultural João Nogueira:-22.90271:-43.28200,Imperator - Centro Cultural João Nogueira,cultural_center,-22.902711868286133,-43.28200149536133,
overture:Memorial Getúlio Vargas:-22.92165:-43.17352,Memorial Getúlio Vargas,memorial,-22.921648025512695,-43.173519134521484,
wikidata:Aqueduto da Colônia Juliano Moreira:-22.93628:-43.39974,Aqueduto da Colônia Juliano Moreira,memorial,-22.936277648,-43.399737187,Q104907381
wikidata:Aterro do Flamengo:-22.92100:-43.17000,Aterro do Flamengo,public_square,-22.921,-43.17,Q5457206
wikidata:Avenida Rio Branco:-22.90472:-43.17750,Avenida Rio Branco,public_square,-22.90472222,-43.1775,Q4828121
wikidata:Bebedouro da Estrada Velha da Tijuca:-22.95203:-43.26208,Bebedouro da Estrada Velha da Tijuca,historic_site,-22.952029507,-43.262078825,Q67204058
wikidata:Bica da Rainha:-22.94078:-43.19701,Bica da Rainha,historic_site,-22.94078,-43.197006,Q48862982
wikidata:Capela Nossa Senhora da Cabeça Rio de Janeiro:-22.96096:-43.22087,Capela Nossa Senhora da Cabeça Rio de Janeiro,church,-22.960962,-43.22087,Q30935277
wikidata:Casa da Marquesa de Santos:-22.90458:-43.21707,Casa da Marquesa de Santos,historic_site,-22.90458,-43.217068,Q10333920
wikidata:Casa da Moeda do Brasil:-22.90649:-43.19078,Casa da Moeda do Brasil,historic_site,-22.90649,-43.190782,Q5047900
wikidata:Casa das Canoas:-22.98590:-43.27288,Casa das Canoas,historic_site,-22.985902,-43.272883,Q6816788
wikidata:Casa do Bispo:-22.92607:-43.21027,Casa do Bispo,historic_site,-22.926067,-43.210271,Q55608773
wikidata:Chafariz Paulo Fernandes:-22.91153:-43.19456,Chafariz Paulo Fernandes,historic_site,-22.9115308,-43.1945616,Q67210687
wikidata:Chafariz da Glória:-22.91843:-43.17710,Chafariz da Glória,historic_site,-22.9184257,-43.1771039,Q67203826
wikidata:Chafariz das Saracuras:-22.98516:-43.19779,Chafariz das Saracuras,historic_site,-22.985160762,-43.197794625,Q67203719
wikidata:Chafariz de Grandjean de Montigny:-22.96167:-43.27332,Chafariz de Grandjean de Montigny,historic_site,-22.961668055,-43.273318888,Q67203459
wikidata:Chafariz do Lagarto:-22.91203:-43.19521,Chafariz do Lagarto,historic_site,-22.9120252,-43.1952142,Q67204031
wikidata:Coleção Geyer:-22.94099:-43.20517,Coleção Geyer,museum,-22.94099,-43.205175,Q25419064
wikidata:Colégio Militar do Rio de Janeiro:-22.91691:-43.22634,Colégio Militar do Rio de Janeiro,university,-22.91691,-43.226343,Q18473983
wikidata:Colégio Pedro II:-22.90172:-43.18490,Colégio Pedro II,university,-22.9017223,-43.184904,Q1113098
wikidata:Convento de Santa Teresa:-22.91553:-43.18045,Convento de Santa Teresa,church,-22.915529,-43.180453,Q18482673
wikidata:Convento do Carmo:-22.90337:-43.17555,Convento do Carmo,church,-22.903371,-43.175553,Q4902626
wikidata:Copacabana Palace:-22.96726:-43.17874,Copacabana Palace,historic_site,-22.96726,-43.17874,Q2637352
wikidata:Cristo Redentor:-22.95192:-43.21046,Cristo Redentor,monument,-22.951915648,-43.210464122,Q79961
wikidata:Edifício ''A Noite'':-22.89730:-43.18100,Edifício ''A Noite'',historic_site,-22.8973,-43.181,Q5338058
wikidata:Edifício Docas de Santos:-22.90057:-43.17960,Edifício Docas de Santos,historic_site,-22.900569,-43.179598,Q69363749
wikidata:Edifício Gustavo Capanema:-22.90920:-43.17383,Edifício Gustavo Capanema,historic_site,-22.9092,-43.17382778,Q2598551
wikidata:Escola Nacional de Belas Artes:-22.90877:-43.17571,Escola Nacional de Belas Artes,university,-22.908769444,-43.175705555,Q55439919
wikidata:Estação Central do Brasil:-22.90341:-43.19144,Estação Central do Brasil,historic_site,-22.903413888,-43.191444444,Q1274003
wikidata:Estação Ferroviária Leopoldina - Barão de Mauá:-22.90771:-43.21045,Estação Ferroviária Leopoldina - Barão de Mauá,memorial,-22.907711078,-43.210454321,Q69363079
wikidata:Estação Leopoldina:-22.90766:-43.21057,Estação Leopoldina,memorial,-22.90766242,-43.21057088,Q10275936
wikidata:Estátua equestre de Dom Pedro I:-22.90695:-43.18282,Estátua equestre de Dom Pedro I,monument,-22.906954,-43.182824,Q18476242
wikidata:Fazenda da Taquara:-22.92223:-43.38288,Fazenda da Taquara,historic_site,-22.922226662,-43.382882804,Q136421907
wikidata:Fazenda do Engenho d’ Água:-22.95510:-43.35623,Fazenda do Engenho d’ Água,historic_site,-22.955095,-43.356234,Q104907313
wikidata:Fortaleza de Nossa Senhora da Conceição (Rio de Janeiro):-22.89923:-43.18377,Fortaleza de Nossa Senhora da Conceição (Rio de Janeiro),historic_site,-22.899226,-43.183768,Q10283627
wikidata:Fortaleza de São José da Ilha das Cobras:-22.89638:-43.17114,Fortaleza de São José da Ilha das Cobras,historic_site,-22.896382,-43.17114,Q10283639
wikidata:Forte de São Tiago:-22.90591:-43.16952,Forte de São Tiago,memorial,-22.905908333,-43.169522222,Q10284072
wikidata:Fortim de Caetano Madeira:-22.89650:-43.25960,Fortim de Caetano Madeira,historic_site,-22.8965,-43.2596,Q10284228
wikidata:Hospital Escola São Francisco de Assis:-22.90907:-43.20139,Hospital Escola São Francisco de Assis,historic_site,-22.90907,-43.201393,Q10298377
wikidata:Igreja Positivista do Brasil:-22.92058:-43.17938,Igreja Positivista do Brasil,church,-22.92058,-43.17938,Q10300201
wikidata:Igreja de Nossa Senhora da Ajuda (Ilha do Governador):-22.79332:-43.17052,Igreja de Nossa Senhora da Ajuda (Ilha do Governador),church,-22.79332,-43.170516,Q10300340
wikidata:Igreja de Nossa Senhora da Candelária:-22.90081:-43.17789,Igreja de Nossa Senhora da Candelária,church,-22.900811111,-43.177894444,Q82312
wikidata:Igreja de Nossa Senhora da Conceição e Boa Morte:-22.90302:-43.17875,Igreja de Nossa Senhora da Conceição e Boa Morte,church,-22.903021,-43.178751,Q10300378
wikidata:Igreja de Nossa Senhora da Glória do Outeiro:-22.92145:-43.17543,Igreja de Nossa Senhora da Glória do Outeiro,church,-22.92144722,-43.17543333,Q10300392
wikidata:Igreja de Nossa Senhora da Lapa dos Mercadores:-22.90221:-43.17520,Igreja de Nossa Senhora da Lapa dos Mercadores,church,-22.90221,-43.1752,Q10300403
wikidata:Igreja de Nossa Senhora da Pena:-22.94159:-43.34832,Igreja de Nossa Senhora da Pena,church,-22.941587,-43.3483199,Q104904890
wikidata:Igreja de Nossa Senhora da Saúde:-22.89375:-43.19148,Igreja de Nossa Senhora da Saúde,church,-22.893746,-43.191477,Q104853267
wikidata:Igreja do Santíssimo Sacramento da Antiga Sé:-22.90458:-43.18284,Igreja do Santíssimo Sacramento da Antiga Sé,church,-22.90458,-43.182841,Q10300936
wikidata:Igreja de Nossa Senhora do Bonsucesso:-22.90647:-43.17059,Igreja de Nossa Senhora do Bonsucesso,church,-22.906467,-43.170585,Q10300498
wikidata:Igreja de Nossa Senhora do Carmo:-22.90333:-43.17556,Igreja de Nossa Senhora do Carmo,church,-22.903333333,-43.175555555,Q2942273
wikidata:Igreja de Nossa Senhora do Carmo da Lapa do Desterro:-22.91459:-43.17771,Igreja de Nossa Senhora do Carmo da Lapa do Desterro,church,-22.914592,-43.177707,Q96586968
wikidata:Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro):-22.90416:-43.18049,Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro),church,-22.90416,-43.180492,Q10300555
wikidata:Igreja de Santa Cruz dos Militares:-22.90216:-43.17568,Igreja de Santa Cruz dos Militares,church,-22.902158,-43.175682,Q10300620
wikidata:Igreja de São Francisco da Prainha:-22.89781:-43.18363,Igreja de São Francisco da Prainha,church,-22.897811,-43.183628,Q48862348
wikidata:Igreja do Bom Jesus da Coluna:-22.85948:-43.21230,Igreja do Bom Jesus da Coluna,church,-22.859478,-43.2123,Q56641219
wikidata:Jardim Botânico do Rio de Janeiro:-22.96750:-43.22389,Jardim Botânico do Rio de Janeiro,natural_landmark,-22.9675,-43.223889,Q45242
wikidata:Jardim e Morro do Valongo:-22.89856:-43.18643,Jardim e Morro do Valongo,university,-22.898558,-43.186426,Q56641218
wikidata:Ladeira da Misericórdia:-22.90620:-43.17027,Ladeira da Misericórdia,public_square,-22.906195,-43.17027,Q10315482
wikidata:Monumento aos Mortos da Segunda Guerra Mundial:-22.91667:-43.17361,Monumento aos Mortos da Segunda Guerra Mundial,monument,-22.91666667,-43.17361111,Q2017454
wikidata:Morro da Babilônia:-22.96000:-43.17056,Morro da Babilônia,natural_landmark,-22.96,-43.17055556,Q6914185
wikidata:Morro do Corcovado:-22.95250:-43.21167,Morro do Corcovado,natural_landmark,-22.9525,-43.211666666,Q506938
wikidata:Observatório Nacional:-22.89588:-43.22498,Observatório Nacional,university,-22.8958759,-43.2249755,Q6621362
wikidata:Palácio Guanabara:-22.93750:-43.18389,Palácio Guanabara,historic_site,-22.9375,-43.18388889,Q3813706
wikidata:Palácio da Conceição:-22.89964:-43.18270,Palácio da Conceição,historic_site,-22.89964,-43.182697,Q10343988
wikidata:Palácio das Laranjeiras:-22.93143:-43.18356,Palácio das Laranjeiras,historic_site,-22.93143,-43.183562,Q10343955
wikidata:Parque Nacional da Tijuca:-22.95944:-43.27778,Parque Nacional da Tijuca,natural_landmark,-22.959444444,-43.277777777,Q1974494
wikidata:Pavilhão Mourisco:-22.87495:-43.24543,Pavilhão Mourisco,historic_site,-22.8749473,-43.2454285,Q84971371
wikidata:Praça XV de Novembro:-22.90300:-43.17369,Praça XV de Novembro,public_square,-22.903,-43.173694444,Q10353359
wikidata:Quinta da Boa Vista:-22.90580:-43.22440,Quinta da Boa Vista,museum,-22.9058,-43.2244,Q2500590
wikidata:Santa Casa de Misericórdia do Rio de Janeiro:-22.90752:-43.17114,Santa Casa de Misericórdia do Rio de Janeiro,historic_site,-22.907521,-43.171143,Q10367749
wikidata:Santuário de Santa Rita de Cássia:-22.90038:-43.18066,Santuário de Santa Rita de Cássia,church,-22.900376,-43.18066,Q10300658
wikidata:Solar Grandjean de Montigny:-22.97902:-43.23376,Solar Grandjean de Montigny,museum,-22.979022,-43.233756,Q18485129
wikidata:Universidade Federal do Rio de Janeiro:-22.86250:-43.22389,Universidade Federal do Rio de Janeiro,university,-22.8625,-43.223888888,Q586904
