name,category,source,lat,lon,wikidata_qid
Centro Cultural José Bonifácio,cultural_center,overture,-22.896223068237305,-43.194278717041016,
Centro Cultural Justiça Federal,cultural_center,overture,-22.910539627075195,-43.17530822753906,
Centro Cultural Light,cultural_center,overture,-22.90272331237793,-43.187095642089844,
Centro Cultural da Policia Militar,cultural_center,overture,-22.909130096435547,-43.19478988647461,
Centro Luiz Gonzaga de Tradições Nordestinas,cultural_center,overture,-22.89764976501465,-43.220314025878906,
Fundição Progresso,theater,overture,-22.912487030029297,-43.18055725097656,
Imperator - Centro Cultural João Nogueira,cultural_center,overture,-22.902711868286133,-43.28200149536133,
Memorial Getúlio Vargas,memorial,overture,-22.921648025512695,-43.173519134521484,
Aqueduto da Colônia Juliano Moreira,memorial,wikidata,-22.936277648,-43.399737187,Q104907381
Aterro do Flamengo,public_square,wikidata,-22.921,-43.17,Q5457206
Avenida Rio Branco,public_square,wikidata,-22.90472222,-43.1775,Q4828121
Bebedouro da Estrada Velha da Tijuca,historic_site,wikidata,-22.952029507,-43.262078825,Q67204058
Bica da Rainha,historic_site,wikidata,-22.94078,-43.197006,Q48862982
Capela Nossa Senhora da Cabeça Rio de Janeiro,church,wikidata,-22.960962,-43.22087,Q30935277
Casa da Marquesa de Santos,historic_site,wikidata,-22.90458,-43.217068,Q10333920
Casa da Moeda do Brasil,historic_site,wikidata,-22.90649,-43.190782,Q5047900
Casa das Canoas,historic_site,wikidata,-22.985902,-43.272883,Q6816788
Casa do Bispo,historic_site,wikidata,-22.926067,-43.210271,Q55608773
Chafariz Paulo Fernandes,historic_site,wikidata,-22.9115308,-43.1945616,Q67210687
Chafariz da Glória,historic_site,wikidata,-22.9184257,-43.1771039,Q67203826
Chafariz das Saracuras,historic_site,wikidata,-22.985160762,-43.197794625,Q67203719
Chafariz de Grandjean de Montigny,historic_site,wikidata,-22.961668055,-43.273318888,Q67203459
Chafariz do Lagarto,historic_site,wikidata,-22.9120252,-43.1952142,Q67204031
